Date,Equity
04-01-2016,1000000
05-01-2016,1000000
06-01-2016,1000000
07-01-2016,1000000
08-01-2016,1000000
11-01-2016,1000000
12-01-2016,1000000
13-01-2016,1000000
14-01-2016,1000000
15-01-2016,1000000
18-01-2016,1000000
19-01-2016,1000000
20-01-2016,1000000
21-01-2016,1000000
22-01-2016,1000000
25-01-2016,1000000
26-01-2016,1000000
27-01-2016,1000000
28-01-2016,1000000
29-01-2016,1000000
01-02-2016,1000000
02-02-2016,1000000
03-02-2016,1000000
04-02-2016,1000000
05-02-2016,1000000
08-02-2016,1000000
09-02-2016,1000000
10-02-2016,1000000
11-02-2016,1000000
12-02-2016,1000000
15-02-2016,1000000
16-02-2016,1000000
17-02-2016,1000000
18-02-2016,1000000
19-02-2016,1000000
22-02-2016,1000000
23-02-2016,1000000
24-02-2016,1000000
25-02-2016,1000000
26-02-2016,1000000
29-02-2016,1000000
01-03-2016,1000000
02-03-2016,1000000
03-03-2016,1000000
04-03-2016,1000000
07-03-2016,1000000
08-03-2016,1000000
09-03-2016,1000000
10-03-2016,1000000
11-03-2016,1000000
14-03-2016,1000000
15-03-2016,1000000
16-03-2016,1000000
17-03-2016,1000000
18-03-2016,1000000
21-03-2016,1000000
22-03-2016,1000000
23-03-2016,1000000
24-03-2016,1000000
25-03-2016,1000000
28-03-2016,1000000
29-03-2016,1000000
30-03-2016,1000000
31-03-2016,1000000
01-04-2016,1000000
04-04-2016,1000000
05-04-2016,1000000
06-04-2016,1000000
07-04-2016,1000000
08-04-2016,1000000
11-04-2016,1000000
12-04-2016,1000000
13-04-2016,1000000
14-04-2016,1000000
15-04-2016,1000000
18-04-2016,1000000
19-04-2016,1000000
20-04-2016,1000000
21-04-2016,1000000
22-04-2016,1000000
25-04-2016,1000000
26-04-2016,1000000
27-04-2016,1000000
28-04-2016,1000000
29-04-2016,1000000
02-05-2016,1000000
03-05-2016,1000000
04-05-2016,1000000
05-05-2016,1000000
06-05-2016,1000000
09-05-2016,1000000
10-05-2016,1000000
11-05-2016,1000000
12-05-2016,1000000
13-05-2016,1000000
16-05-2016,1000000
17-05-2016,1000000
18-05-2016,1000000
19-05-2016,1000000
20-05-2016,1000000
23-05-2016,1000000
24-05-2016,1000000
25-05-2016,1000000
26-05-2016,1000000
27-05-2016,1000000
30-05-2016,1000000
31-05-2016,1000000
01-06-2016,1000000
02-06-2016,1000000
03-06-2016,1000000
06-06-2016,1000000
07-06-2016,1000000
08-06-2016,1000000
09-06-2016,1000000
10-06-2016,1000000
13-06-2016,1000000
14-06-2016,1000000
15-06-2016,1000000
16-06-2016,1000000
17-06-2016,1000000
20-06-2016,1000000
21-06-2016,1000000
22-06-2016,1000000
23-06-2016,1000000
24-06-2016,1000000
27-06-2016,1000000
28-06-2016,1000000
29-06-2016,1000000
30-06-2016,1000000
01-07-2016,1000000
04-07-2016,1000000
05-07-2016,1000000
06-07-2016,1000000
07-07-2016,1000000
08-07-2016,1000000
11-07-2016,1000000
12-07-2016,1000000
13-07-2016,1000000
14-07-2016,1000000
15-07-2016,1000000
18-07-2016,1000000
19-07-2016,1000000
20-07-2016,1000000
21-07-2016,1000000
22-07-2016,1000000
25-07-2016,1000000
26-07-2016,1000000
27-07-2016,1000000
28-07-2016,1000000
29-07-2016,1000000
01-08-2016,1000000
02-08-2016,1000000
03-08-2016,1000000
04-08-2016,1000000
05-08-2016,1000000
08-08-2016,1000000
09-08-2016,1000000
10-08-2016,1000000
11-08-2016,1000000
12-08-2016,1000000
15-08-2016,1000000
16-08-2016,1000000
17-08-2016,1000000
18-08-2016,1000000
19-08-2016,1000000
22-08-2016,1000000
23-08-2016,1000000
24-08-2016,1000000
25-08-2016,1000000
26-08-2016,999440.6506
29-08-2016,1001321.011
30-08-2016,1001473.737
31-08-2016,1002813.28
01-09-2016,1002767.434
02-09-2016,1004866.393
05-09-2016,1002674.416
06-09-2016,1003308.11
07-09-2016,1002969.946
08-09-2016,1001226.386
09-09-2016,1000394.4
12-09-2016,1004111.057
13-09-2016,1002772.405
14-09-2016,1000645.754
15-09-2016,1000601.718
16-09-2016,997039.0718
19-09-2016,1000455.071
20-09-2016,1000412.523
21-09-2016,1002297.168
22-09-2016,1004222.129
23-09-2016,1004884.311
26-09-2016,1007306.486
27-09-2016,1007738.879
28-09-2016,1009249.348
29-09-2016,1008902.718
30-09-2016,1005286.465
03-10-2016,1009764.942
04-10-2016,1010628.159
05-10-2016,1011360.519
06-10-2016,1012421.204
07-10-2016,1013329.182
10-10-2016,1012259.468
11-10-2016,1016543.296
12-10-2016,1015606.62
13-10-2016,1015606.62
14-10-2016,1015606.62
17-10-2016,1015651.559
18-10-2016,1016280.711
19-10-2016,1018156.678
20-10-2016,1019837.427
21-10-2016,1019491.019
24-10-2016,1020112.737
25-10-2016,1018702.724
26-10-2016,1018142.387
27-10-2016,1019399.311
28-10-2016,1022826.147
31-10-2016,1022464.098
01-11-2016,1021227.633
02-11-2016,1019929.407
03-11-2016,1021796.49
04-11-2016,1020111.232
07-11-2016,1020542.852
08-11-2016,1022601.188
09-11-2016,1022199.619
10-11-2016,1022115.258
11-11-2016,1022115.258
14-11-2016,1022115.258
15-11-2016,1022115.258
16-11-2016,1022115.258
17-11-2016,1022115.258
18-11-2016,1022115.258
21-11-2016,1022115.258
22-11-2016,1022115.258
23-11-2016,1022115.258
24-11-2016,1022115.258
25-11-2016,1022115.258
28-11-2016,1022115.258
29-11-2016,1022115.258
30-11-2016,1022115.258
01-12-2016,1022115.258
02-12-2016,1022115.258
05-12-2016,1022115.258
06-12-2016,1022115.258
07-12-2016,1022115.258
08-12-2016,1022115.258
09-12-2016,1022115.258
12-12-2016,1022115.258
13-12-2016,1022115.258
14-12-2016,1022115.258
15-12-2016,1022115.258
16-12-2016,1022115.258
19-12-2016,1022115.258
20-12-2016,1022115.258
21-12-2016,1022115.258
22-12-2016,1022115.258
23-12-2016,1022115.258
26-12-2016,1022115.258
27-12-2016,1022115.258
28-12-2016,1022115.258
29-12-2016,1022115.258
30-12-2016,1022115.258
02-01-2017,1022115.258
03-01-2017,1022115.258
04-01-2017,1022115.258
05-01-2017,1022115.258
06-01-2017,1022115.258
09-01-2017,1022115.258
10-01-2017,1022115.258
11-01-2017,1022115.258
12-01-2017,1022115.258
13-01-2017,1022115.258
16-01-2017,1022115.258
17-01-2017,1022115.258
18-01-2017,1022115.258
19-01-2017,1022115.258
20-01-2017,1022115.258
23-01-2017,1022115.258
24-01-2017,1022115.258
25-01-2017,1022115.258
26-01-2017,1022115.258
27-01-2017,1022115.258
30-01-2017,1022115.258
31-01-2017,1022115.258
01-02-2017,1022115.258
02-02-2017,1022115.258
03-02-2017,1022115.258
